Filename,Relative Frequency of NOUN,Relative Freqency of VERB,Relative Freqency of ADJ,Relative Freqency of ADV,Unique PER,Unique LOC,Unique ORG
0100.a1.txt,0.3664383561643836,0.3047945205479452,0.1952054794520548,0.13356164383561644,0,0,0
0101.a1.txt,0.3051948051948052,0.32142857142857145,0.1525974025974026,0.22077922077922077,0,0,1
0102.a1.txt,0.37920489296636084,0.3119266055045872,0.18042813455657492,0.12844036697247707,0,0,0
0103.a1.txt,0.3018292682926829,0.38109756097560976,0.15853658536585366,0.15853658536585366,0,0,1
0104.a1.txt,0.35161290322580646,0.31290322580645163,0.14838709677419354,0.1870967741935484,0,1,1
0105.a1.txt,0.329153605015674,0.3510971786833856,0.16614420062695925,0.1536050156739812,0,0,1
0106.a1.txt,0.33962264150943394,0.2830188679245283,0.18598382749326145,0.19137466307277629,0,0,0
0107.a1.txt,0.29333333333333333,0.3466666666666667,0.2,0.16,0,0,0
0108.a1.txt,0.3392857142857143,0.36428571428571427,0.12857142857142856,0.16785714285714284,0,0,0
0109.a1.txt,0.3217391304347826,0.34202898550724636,0.16521739130434782,0.17101449275362318,0,0,0
0110.a1.txt,0.3343195266272189,0.3136094674556213,0.19822485207100593,0.15384615384615385,0,0,0
0111.a1.txt,0.33035714285714285,0.3273809523809524,0.17261904761904762,0.16964285714285715,0,0,0
0112.a1.txt,0.3185840707964602,0.3274336283185841,0.18289085545722714,0.1710914454277286,0,0,0
0113.a1.txt,0.3220640569395018,0.30071174377224197,0.16725978647686832,0.2099644128113879,0,0,3
0114.a1.txt,0.27492447129909364,0.36555891238670696,0.14501510574018128,0.21450151057401812,0,0,0
0115.a1.txt,0.33647798742138363,0.27358490566037735,0.19811320754716982,0.1918238993710692,0,0,1
0116.a1.txt,0.30344827586206896,0.3448275862068966,0.14482758620689656,0.20689655172413793,0,0,0
0118.a1.txt,0.31986531986531985,0.3400673400673401,0.16835016835016836,0.1717171717171717,0,0,1
0119.a1.txt,0.2964071856287425,0.3413173652694611,0.18263473053892215,0.17964071856287425,0,0,0
0120.a1.txt,0.30606060606060603,0.3424242424242424,0.1606060606060606,0.19090909090909092,0,0,0
0121.a1.txt,0.3465346534653465,0.3292079207920792,0.16831683168316833,0.15594059405940594,0,0,3
0122.a1.txt,0.35410764872521244,0.31728045325779036,0.1643059490084986,0.1643059490084986,0,0,0
0123.a1.txt,0.3142857142857143,0.346031746031746,0.14603174603174604,0.19365079365079366,0,1,0
0124.a1.txt,0.410958904109589,0.27671232876712326,0.1643835616438356,0.14794520547945206,0,2,5
0125.a1.txt,0.4095744680851064,0.2553191489361702,0.19414893617021275,0.14095744680851063,0,1,0
0127.a1.txt,0.30067567567567566,0.34121621621621623,0.14527027027027026,0.21283783783783783,0,0,1
0128.a1.txt,0.34662576687116564,0.3067484662576687,0.15644171779141106,0.1901840490797546,0,0,0
0130.a1.txt,0.346875,0.275,0.20625,0.171875,0,0,1
0131.a1.txt,0.34076433121019106,0.3535031847133758,0.18471337579617833,0.12101910828025478,0,0,0
0133.a1.txt,0.29102167182662536,0.3560371517027864,0.1393188854489164,0.21362229102167182,0,0,0
0134.a1.txt,0.289544235924933,0.28150134048257375,0.16890080428954424,0.26005361930294907,0,0,0
0135.a1.txt,0.38869257950530034,0.22614840989399293,0.21554770318021202,0.1696113074204947,0,1,3
0136.a1.txt,0.3813559322033898,0.3050847457627119,0.14689265536723164,0.16666666666666666,0,1,0
0137.a1.txt,0.278125,0.309375,0.20625,0.20625,0,0,2
0138.a1.txt,0.3235294117647059,0.3058823529411765,0.18823529411764706,0.18235294117647058,0,0,0
0139.a1.txt,0.28618421052631576,0.40131578947368424,0.13486842105263158,0.17763157894736842,0,0,0
0140.a1.txt,0.35678391959798994,0.32663316582914576,0.1884422110552764,0.12814070351758794,0,0,0
0142.a1.txt,0.38175675675675674,0.34797297297297297,0.1858108108108108,0.08445945945945946,0,0,2
0143.a1.txt,0.34234234234234234,0.32732732732732733,0.16516516516516516,0.16516516516516516,0,0,1
0144.a1.txt,0.28762541806020064,0.33444816053511706,0.1806020066889632,0.19732441471571907,0,0,3
0145.a1.txt,0.38857142857142857,0.2714285714285714,0.16285714285714287,0.17714285714285713,0,0,1
0146.a1.txt,0.3059210526315789,0.3848684210526316,0.14473684210526316,0.16447368421052633,0,0,0
0148.a1.txt,0.3261538461538461,0.28307692307692306,0.21846153846153846,0.1723076923076923,0,0,0
0149.a1.txt,0.3155339805825243,0.3131067961165049,0.17718446601941748,0.1941747572815534,0,0,0
0151.a1.txt,0.2517241379310345,0.41379310344827586,0.1413793103448276,0.19310344827586207,0,0,0
0152.a1.txt,0.3377659574468085,0.30851063829787234,0.18617021276595744,0.1675531914893617,0,0,0
0155.a1.txt,0.2543859649122807,0.3654970760233918,0.18128654970760233,0.19883040935672514,0,0,0
0156.a1.txt,0.25862068965517243,0.38620689655172413,0.15862068965517243,0.19655172413793104,0,0,0
0157.a1.txt,0.30120481927710846,0.42168674698795183,0.13855421686746988,0.13855421686746988,0,0,0
0158.a1.txt,0.2818181818181818,0.38484848484848483,0.16666666666666666,0.16666666666666666,0,0,0
0159.a1.txt,0.2829581993569132,0.36977491961414793,0.14790996784565916,0.19935691318327975,0,0,1
0161.a1.txt,0.3805031446540881,0.2893081761006289,0.2138364779874214,0.11635220125786164,0,0,0
0162.a1.txt,0.3246753246753247,0.33766233766233766,0.17532467532467533,0.16233766233766234,0,0,0
0163.a1.txt,0.329073482428115,0.28434504792332266,0.14696485623003194,0.23961661341853036,0,0,1
0164.a1.txt,0.39939024390243905,0.2865853658536585,0.17378048780487804,0.1402439024390244,0,0,0
0165.a1.txt,0.39080459770114945,0.28448275862068967,0.1781609195402299,0.14655172413793102,0,0,0
0167.a1.txt,0.30809399477806787,0.28720626631853785,0.1566579634464752,0.24804177545691905,0,0,2
0168.a1.txt,0.33827893175074186,0.31750741839762614,0.142433234421365,0.20178041543026706,0,0,0
0169.a1.txt,0.345565749235474,0.3425076452599388,0.17737003058103976,0.1345565749235474,0,0,2
0171.a1.txt,0.3333333333333333,0.34492753623188405,0.15072463768115943,0.17101449275362318,0,1,1
0172.a1.txt,0.3557692307692308,0.2948717948717949,0.1794871794871795,0.16987179487179488,0,0,0
0173.a1.txt,0.34069400630914826,0.31230283911671924,0.1829652996845426,0.1640378548895899,0,2,3
0174.a1.txt,0.3382352941176471,0.3764705882352941,0.15,0.13529411764705881,0,0,0
0175.a1.txt,0.28104575163398693,0.3660130718954248,0.15359477124183007,0.19934640522875818,0,0,2
0176.a1.txt,0.3472222222222222,0.3194444444444444,0.15833333333333333,0.175,0,0,1
0177.a1.txt,0.25,0.3974358974358974,0.1858974358974359,0.16666666666666666,0,0,0
0178.a1.txt,0.3333333333333333,0.2782152230971129,0.1679790026246719,0.2204724409448819,0,0,1
0179.a1.txt,0.32413793103448274,0.3793103448275862,0.1413793103448276,0.15517241379310345,0,0,2
0180.a1.txt,0.30513595166163143,0.3474320241691843,0.1661631419939577,0.18126888217522658,0,0,5
0182.a1.txt,0.3797752808988764,0.3101123595505618,0.15955056179775282,0.15056179775280898,0,0,1
0185.a1.txt,0.40445859872611467,0.27070063694267515,0.18789808917197454,0.13694267515923567,0,0,1
0186.a1.txt,0.3069620253164557,0.3639240506329114,0.12658227848101267,0.20253164556962025,0,0,1
0187.a1.txt,0.31384615384615383,0.3323076923076923,0.16923076923076924,0.18461538461538463,0,0,1
0188.a1.txt,0.30718954248366015,0.3431372549019608,0.17320261437908496,0.17647058823529413,0,0,3
0189.a1.txt,0.3264781491002571,0.35989717223650386,0.16966580976863754,0.14395886889460155,0,0,2
0190.a1.txt,0.31010452961672474,0.39372822299651566,0.156794425087108,0.13937282229965156,0,0,2
0191.a1.txt,0.30383480825958703,0.3421828908554572,0.1887905604719764,0.16519174041297935,0,0,2
0192.a1.txt,0.25,0.36363636363636365,0.20454545454545456,0.18181818181818182,0,0,0
0193.a1.txt,0.3076923076923077,0.358974358974359,0.1955128205128205,0.13782051282051283,0,1,1
0194.a1.txt,0.2708860759493671,0.3670886075949367,0.19240506329113924,0.16962025316455695,0,0,2
0195.a1.txt,0.3105590062111801,0.38198757763975155,0.15838509316770186,0.14906832298136646,0,0,0
0196.a1.txt,0.3125,0.3392857142857143,0.1875,0.16071428571428573,0,0,0
0197.a1.txt,0.34169278996865204,0.335423197492163,0.1724137931034483,0.15047021943573669,0,0,0
0198.a1.txt,0.3492647058823529,0.3492647058823529,0.15441176470588236,0.14705882352941177,0,0,2
0199.a1.txt,0.34579439252336447,0.34890965732087226,0.13395638629283488,0.17133956386292834,0,0,0
0200.a1.txt,0.3117505995203837,0.31894484412470026,0.19904076738609114,0.17026378896882494,0,0,3
0201.a1.txt,0.28421052631578947,0.37543859649122807,0.15087719298245614,0.18947368421052632,0,0,0
0202.a1.txt,0.3888888888888889,0.3055555555555556,0.16666666666666666,0.1388888888888889,0,0,1
0203.a1.txt,0.3735632183908046,0.32471264367816094,0.1724137931034483,0.12931034482758622,0,0,0
0204.a1.txt,0.38961038961038963,0.30194805194805197,0.16558441558441558,0.14285714285714285,0,0,1
0205.a1.txt,0.2972972972972973,0.37567567567567567,0.17027027027027028,0.15675675675675677,0,0,0
0206.a1.txt,0.29347826086956524,0.37318840579710144,0.17028985507246377,0.16304347826086957,0,0,1
0207.a1.txt,0.32459016393442625,0.36721311475409835,0.1540983606557377,0.1540983606557377,0,0,0
0208.a1.txt,0.34945054945054943,0.2857142857142857,0.2,0.16483516483516483,0,0,0
0209.a1.txt,0.34812286689419797,0.3310580204778157,0.16382252559726962,0.15699658703071673,0,0,5
0212.a1.txt,0.34516129032258064,0.27741935483870966,0.17096774193548386,0.2064516129032258,0,0,0
0213.a1.txt,0.32456140350877194,0.34502923976608185,0.195906432748538,0.13450292397660818,0,0,2
0214.a1.txt,0.3052959501557632,0.3333333333333333,0.14018691588785046,0.22118380062305296,0,0,0
0215.a1.txt,0.3586387434554974,0.34554973821989526,0.1256544502617801,0.17015706806282724,0,1,9
0216.a1.txt,0.3711340206185567,0.35051546391752575,0.18213058419243985,0.09621993127147767,0,0,0
0217.a1.txt,0.3146853146853147,0.3146853146853147,0.22377622377622378,0.14685314685314685,0,0,0
0218.a1.txt,0.36555891238670696,0.34441087613293053,0.17522658610271905,0.1148036253776435,0,0,0
0219.a1.txt,0.36890243902439024,0.2896341463414634,0.1798780487804878,0.16158536585365854,0,0,0
0221.a1.txt,0.334375,0.346875,0.1625,0.15625,0,2,11
0222.a1.txt,0.3472803347280335,0.3389121338912134,0.200836820083682,0.11297071129707113,0,0,1
0223.a1.txt,0.3442622950819672,0.29508196721311475,0.20081967213114754,0.1598360655737705,0,0,0
0224.a1.txt,0.31448763250883394,0.3392226148409894,0.17314487632508835,0.17314487632508835,0,0,1
0226.a1.txt,0.35093167701863354,0.2732919254658385,0.20186335403726707,0.17391304347826086,0,0,0
0227.a1.txt,0.3323529411764706,0.3558823529411765,0.16176470588235295,0.15,0,0,1
0232.a1.txt,0.3128834355828221,0.3343558282208589,0.1687116564417178,0.18404907975460122,0,0,1
0233.a1.txt,0.33916083916083917,0.3006993006993007,0.2097902097902098,0.15034965034965034,0,0,0
0234.a1.txt,0.3557692307692308,0.34294871794871795,0.16346153846153846,0.13782051282051283,0,0,0
0235.a1.txt,0.41216216216216217,0.28378378378378377,0.17905405405405406,0.125,0,0,0
0236.a1.txt,0.29432624113475175,0.38652482269503546,0.14893617021276595,0.1702127659574468,0,0,0
0238.a1.txt,0.3125,0.3819444444444444,0.19444444444444445,0.1111111111111111,0,0,0
1001.a1.txt,0.4025157232704403,0.31446540880503143,0.18238993710691823,0.10062893081761007,0,0,1
1003.a1.txt,0.3585434173669468,0.33613445378151263,0.18487394957983194,0.12044817927170869,0,0,0
1004.a1.txt,0.33527696793002915,0.3294460641399417,0.1749271137026239,0.16034985422740525,0,0,4
1005.a1.txt,0.3663101604278075,0.28342245989304815,0.17379679144385027,0.17647058823529413,0,0,1
1006.a1.txt,0.31666666666666665,0.35,0.19166666666666668,0.14166666666666666,0,0,1
1007.a1.txt,0.3348623853211009,0.3577981651376147,0.16055045871559634,0.14678899082568808,0,2,2
1008.a1.txt,0.37168141592920356,0.3274336283185841,0.13864306784660768,0.16224188790560473,0,0,0
1009.a1.txt,0.40307692307692305,0.3169230769230769,0.16307692307692306,0.11692307692307692,0,0,2
1010.a1.txt,0.32916666666666666,0.3375,0.18333333333333332,0.15,0,0,3
1012.a1.txt,0.3885542168674699,0.28012048192771083,0.17771084337349397,0.1536144578313253,0,0,0
1013.a1.txt,0.29245283018867924,0.31446540880503143,0.17295597484276728,0.22012578616352202,0,0,2
1014.a1.txt,0.36298932384341637,0.3416370106761566,0.1494661921708185,0.14590747330960854,0,0,3
1016.a1.txt,0.2908496732026144,0.30392156862745096,0.1895424836601307,0.21568627450980393,0,0,0
1017.a1.txt,0.32722513089005234,0.3193717277486911,0.18324607329842932,0.17015706806282724,0,1,0
1018.a1.txt,0.3659942363112392,0.2910662824207493,0.2132564841498559,0.12968299711815562,0,0,1
1019.a1.txt,0.3723196881091618,0.2631578947368421,0.17738791423001948,0.1871345029239766,0,0,7
1020.a1.txt,0.3177570093457944,0.36682242990654207,0.15654205607476634,0.1588785046728972,0,0,2
1021.a1.txt,0.3377049180327869,0.3540983606557377,0.16065573770491803,0.14754098360655737,0,0,1
1022.a1.txt,0.34017595307917886,0.39589442815249265,0.14076246334310852,0.12316715542521994,0,0,0
1023.a1.txt,0.3671875,0.2994791666666667,0.16927083333333334,0.1640625,0,0,2
1024.a1.txt,0.3323353293413174,0.3323353293413174,0.17365269461077845,0.16167664670658682,0,0,1
1026.a1.txt,0.2957393483709273,0.38345864661654133,0.18796992481203006,0.13283208020050125,0,0,0
1027.a1.txt,0.39158576051779936,0.36245954692556637,0.15857605177993528,0.08737864077669903,0,1,1
1029.a1.txt,0.3516819571865443,0.345565749235474,0.18960244648318042,0.11314984709480122,0,0,0
1031.a1.txt,0.31313131313131315,0.367003367003367,0.16161616161616163,0.15824915824915825,0,0,1
1032.a1.txt,0.3264094955489614,0.35311572700296734,0.17210682492581603,0.14836795252225518,0,0,1
1034.a1.txt,0.36129032258064514,0.3419354838709677,0.14516129032258066,0.15161290322580645,0,0,0
1036.a1.txt,0.31629392971246006,0.31629392971246006,0.16613418530351437,0.2012779552715655,0,0,0
1037.a1.txt,0.301994301994302,0.31339031339031337,0.18803418803418803,0.19658119658119658,0,0,0
1038.a1.txt,0.3411764705882353,0.30980392156862746,0.1568627450980392,0.19215686274509805,0,0,3
1039.a1.txt,0.28672985781990523,0.3744075829383886,0.16350710900473933,0.17535545023696683,0,0,1
1041.a1.txt,0.28313253012048195,0.3885542168674699,0.14759036144578314,0.18072289156626506,0,1,0
1042.a1.txt,0.3368200836820084,0.3054393305439331,0.16527196652719664,0.19246861924686193,0,0,4
1043.a1.txt,0.3343108504398827,0.3284457478005865,0.16715542521994134,0.17008797653958943,0,0,0
1044.a1.txt,0.35294117647058826,0.24509803921568626,0.22549019607843138,0.17647058823529413,0,0,4
